DUBINS
(372.844041, 367.64709, 11.296445)
(373.251208, 367.356892, 11.326397)
(373.658374, 367.066693, 11.35635)
(374.065541, 366.776495, 11.386302)
(374.472708, 366.486296, 11.416254)
(374.879875, 366.196097, 11.446207)
(375.287042, 365.905899, 11.476159)
(375.694208, 365.6157, 11.506111)
(376.101375, 365.325502, 11.536064)
(376.508542, 365.035303, 11.566016)
(376.915709, 364.745105, 11.595969)
(377.322876, 364.454906, 11.625921)
(377.730042, 364.164708, 11.655873)
(378.137209, 363.874509, 11.685826)
(378.544376, 363.58431, 11.715778)
(378.951543, 363.294112, 11.745731)
(379.35871, 363.003913, 11.775683)
(379.765876, 362.713715, 11.805635)
(380.173043, 362.423516, 11.835588)
(380.58021, 362.133318, 11.86554)
(380.987377, 361.843119, 11.895492)
(381.394544, 361.55292, 11.925445)
(381.80171, 361.262722, 11.955397)
(382.208877, 360.972523, 11.98535)
(382.616044, 360.682325, 12.015302)
(383.023211, 360.392126, 12.045254)
(383.430377, 360.101928, 12.075207)
(383.837544, 359.811729, 12.105159)
(384.244711, 359.521531, 12.135112)
(384.651878, 359.231332, 12.165064)
(385.059045, 358.941133, 12.195016)
(385.466211, 358.650935, 12.224969)
(385.873378, 358.360736, 12.254921)
(386.280545, 358.070538, 12.284873)
(386.687712, 357.780339, 12.314826)
(387.094879, 357.490141, 12.344778)
(387.502045, 357.199942, 12.374731)
(387.909212, 356.909744, 12.404683)
(388.316379, 356.619545, 12.434635)
(388.723546, 356.329346, 12.464588)
(389.130713, 356.039148, 12.49454)
(389.537879, 355.748949, 12.524492)
(389.945046, 355.458751, 12.554445)
(390.352213, 355.168552, 12.584397)
(390.75938, 354.878354, 12.61435)
(391.166546, 354.588155, 12.644302)
(391.573713, 354.297956, 12.674254)
(391.98088, 354.007758, 12.704207)
(392.388047, 353.717559, 12.734159)
(392.795214, 353.427361, 12.764112)
(393.20238, 353.137162, 12.794064)
(393.609547, 352.846964, 12.824016)
